Anticipated Graduation Date,Race,GPA - Acum, A+ Days Absent,Credits - Acum
05/24,B,2.185185,2.00,11.00000
05/24,B,3.066666,2.50,14.50000
05/24,B,3.750000,2.50,14.00000
05/24,W,1.607142,17.50,12.00000
05/24,W,1.967741,6.00,12.50000
05/24,W,2.571428,0.00,13.00000
05/24,W,2.678571,11.50,14.00000
05/24,W,4.055555,6.50,18.00000
05/25,A,2.857142,13.00,7.00000
05/25,A,3.785714,19.00,7.00000
05/25,B,2.312500,2.00,8.00000
05/25,B,2.409090,27.50,11.00000
05/25,B,3.000000,2.00,8.50000
05/25,B,3.440000,1.50,12.50000
05/25,B,3.666666,0.00,9.00000
05/25,W,0.687500,27.00,3.50000
05/25,W,2.954545,22.00,11.00000
05/25,W,3.000000,16.00,9.00000
05/25,W,3.863636,4.00,11.00000
05/25,W,3.875000,0.00,12.00000
05/26,B,0.000000,0.00,0.00000
05/26,B,2.909090,0.00,5.50000
05/26,B,3.000000,0.00,1.00000
05/26,B,3.500000,0.00,5.00000
05/26,B,4.000000,0.00,1.00000
05/26,B,4.000000,0.00,4.00000
05/26,B,4.000000,0.00,5.00000
05/26,W,,0.00,
05/26,W,1.500000,0.00,1.00000
05/26,W,2.333333,0.00,3.00000
05/26,W,2.500000,0.00,1.00000
05/26,W,2.500000,0.00,2.00000
05/26,W,3.000000,0.00,1.00000
05/26,W,3.000000,0.00,4.00000
05/26,W,3.000000,0.00,5.00000
05/26,W,3.250000,0.00,2.00000
05/26,W,3.400000,0.00,5.00000
05/26,W,4.000000,0.00,1.00000
05/26,W,4.000000,0.00,3.00000
05/26,W,4.000000,0.00,3.50000
05/26,W,4.000000,0.00,4.00000
05/26,W,4.000000,0.00,5.00000
06/23,B,1.851063,2.00,20.00000
06/23,B,2.173076,3.00,24.00000
06/23,B,2.217391,51.00,22.00000
06/23,B,3.454545,1.00,22.00000
06/23,B,3.642857,8.50,21.00000
06/24,B,,,
06/24,B,3.233333,17.00,15.00000
06/24,B,3.285714,12.50,13.00000
06/24,W,2.333333,4.00,16.00000
06/25,I,3.750000,3.00,8.00000
06/25,W,1.687500,17.00,7.00000
06/26,B,,0.00,
06/26,B,2.666666,0.00,1.50000
06/26,B,3.000000,0.00,1.00000
06/26,B,3.500000,0.00,1.00000
06/26,B,4.000000,0.00,1.00000
06/26,W,,0.00,
06/26,W,3.166666,0.00,3.00000
06/26,W,4.000000,0.00,4.00000
2023,B,1.617021,9.50,20.50000
2023,B,1.622222,18.50,17.50000
2023,B,2.186046,46.50,21.00000
2023,B,2.761904,14.00,21.00000
2023,B,2.761904,8.00,21.00000
2023,B,2.785714,9.00,21.00000
2023,B,3.208333,2.50,24.00000
2023,B,3.227272,5.00,21.50000
2023,B,3.340000,32.00,25.00000
2023,B,4.018181,0.50,27.50000
2023,W,2.191489,6.50,19.50000
2023,W,2.640000,14.00,23.50000
2023,W,2.875000,14.50,23.00000
2023,W,3.339622,24.50,26.50000
2023,W,3.883720,9.00,21.50000
2023,W,3.980769,3.00,26.00000
2023,W,4.080000,13.50,25.00000
2023,W,4.150943,14.00,26.50000
2023,W,4.153846,5.00,26.00000
2024,B,2.032258,18.50,14.50000
